University,City,State,Denomination,Rank,Market,Academic,aCFI,CSI_Score,CSI_Quantile,Endowment,Latitude,Longitude
Shorter University,Rome,GA,Baptist,447,0.4221630137089974,0.4500762957101153,0.4658822360768343,0.4452393115726291,4,7788772.699,34.25942875,-85.19527510695326
Misericordia University,Dallas,PA,Roman Catholic,448,0.3654467809530408,0.529249497951239,0.482291232391751,0.4449520935467525,4,81530926.057,41.34579835,-75.97183590553288
Yeshiva Toras Chaim,Lakewood,NJ,Jewish,449,0.2628237732306788,0.3539864485099536,0.6717980911368957,0.4447187140450738,4,0.0,40.089909,-74.21627
Morningside University,Sioux City,IA,Methodist,450,0.3788437129510868,0.523526338009467,0.4709805625178268,0.4446389368968663,4,74089017.9,42.479479,-96.362656
Franklin College,Franklin,IN,Baptist,452,0.3871284397456209,0.4862588391775061,0.4798365939966258,0.4440464099233069,4,103077723.117,39.47660655,-86.03725773127834
Luther College,Decorah,IA,Lutheran,456,0.3246578811244498,0.5238288385068214,0.5216000154807743,0.4432883976745869,4,228431300.245,43.3169528,-91.79850254143064
Gordon College,Wenham,MA,Interdenominational,457,0.3459082836092809,0.6144167863492968,0.4550401135997381,0.443257691669191,4,127257830.927,42.5888528,-70.8203006
Benedictine University,Lisle,IL,Roman Catholic,458,0.4128175694819591,0.482392298930013,0.4532611879333829,0.4429110940028849,4,45961752.833,41.77799760000001,-88.09699355549967
University of Sioux Falls,Sioux Falls,SD,Baptist,459,0.3648831311867822,0.5167952271278542,0.4837039683161315,0.4428024581845681,4,39456242.03,43.5309201,-96.73813259452696
Grand View University,Des Moines,IA,Lutheran,460,0.3655589072382959,0.5718038404566107,0.4553798691986644,0.4427336183651764,4,44247249.718,41.61980315,-93.5988096106748
Juniata College,Huntingdon,PA,Anabaptist,461,0.3604795136819995,0.5215851543237556,0.4854686687668902,0.4427051911112598,4,129579165.752,40.5012255,-78.01516280060704
Alfred University,Alfred,NY,Baptist,464,0.3829799018984931,0.4105230691833835,0.516925006121911,0.4420906117489545,4,221447605.223,42.255862,-77.7857087052491
Saint Francis University,Loretto,PA,Roman Catholic,465,0.3683325898110569,0.579656804305346,0.4466971131853401,0.4419377825428534,4,66492241.758,40.5034672,-78.6382564
Transylvania University,Lexington,KY,Protestant,466,0.3592702624386861,0.4769518679508838,0.5065064448694082,0.4417187355893494,4,157770059.61,38.053107,-84.49398715778406
Virginia Wesleyan University,Virginia Beach,VA,Methodist,467,0.4029247016611267,0.3765857372215677,0.5111454903469723,0.4409695023017343,4,168199556.851,36.86802,-76.1877440355182
Bryn Athyn College of the New Church,Bryn Athyn,PA,Other,470,0.2538124531685673,0.366379585193628,0.6633850342167642,0.4402255697958653,4,319962385.157,40.13487835,-75.06013469538682
Lee University,Cleveland,TN,Church of God,472,0.3655168645791184,0.4625156435316947,0.5017015044263473,0.4394080133585994,4,35616229.663,35.1660778,-84.86925196171154
Anderson University,Anderson,IN,Church of God,473,0.410107712752779,0.4697748338472119,0.4532982767417645,0.4393200339679481,4,40147184.087,40.11455395,-85.6607189805517
Washington & Jefferson College,Washington,PA,Roman Catholic,474,0.3523640165544722,0.5317528067658092,0.4785474715905889,0.4387224544231723,4,147129493.059,40.1719209,-80.24134964025063
Siena Heights University,Adrian,MI,Roman Catholic,475,0.3769235498468995,0.5280846883748642,0.4551413062358457,0.4384434075454959,4,16896367.564,41.9062844,-84.01796520279541
Southwestern Adventist University,Keene,TX,Seventh Day Adventist,476,0.3561987450730195,0.4179945333029079,0.5300152258649191,0.4381130787530924,4,30543523.603,32.39755805,-97.32821992906278
Eureka College,Eureka,IL,Protestant,477,0.2960073587231017,0.6234176001129258,0.487475354174665,0.4380821577566431,4,36637553.133,40.71304545,-89.26588087495756
Ashland University,Ashland,OH,Anabaptist,478,0.4074691827282855,0.4266633140756418,0.4742468915447056,0.4380305286529533,4,75206269.854,40.86206715,-82.32557737380854
Oklahoma Baptist University,Shawnee,OK,Baptist,479,0.3634425031693804,0.4284648996967154,0.5170242704813937,0.4379039035134624,4,208065709.699,35.36446295,-96.93385103279996
Mid-America Christian University,Oklahoma City,OK,Church of God,480,0.3004039872213884,0.6937912810991311,0.4474031637250916,0.4378711777043311,4,4364190.92,35.3467159,-97.57847646028875
Lycoming College,Williamsport,PA,Methodist,481,0.3372215995286743,0.4451491578389449,0.5347061712351003,0.4378296440318091,4,165765636.272,41.2454429,-76.99988254888089
Saint Vincent College,Latrobe,PA,Roman Catholic,482,0.3100202754142289,0.5290123184304221,0.5189901459753611,0.437426527011731,4,161801010.27,40.291112,-79.400714
